Date,Country,Total_Recovered
2021-07-12,Afghanistan,82586
2021-08-04,Albania,130314
2021-08-04,Algeria,118409
2021-08-04,Andorra,14380
2021-08-04,Angola,39582
,Antarctica,0
2021-08-04,Antigua and Barbuda,1239
2021-08-04,Argentina,4615834
2021-08-04,Armenia,220438
2021-08-04,Australia,24203
2021-08-04,Austria,644388
2021-08-04,Azerbaijan,333694
2021-08-04,Bahamas,12702
2021-08-04,Bahrain,267220
2021-08-04,Bangladesh,1141157
2021-08-02,Barbados,4251
2021-08-04,Belarus,443417
2020-11-11,Belgium,31130
2021-08-04,Belize,13543
2021-07-28,Benin,8136
2021-08-04,Bhutan,2418
2021-08-04,Bolivia,411830
2021-08-04,Bosnia and Herzegovina,189710
2021-08-02,Botswana,96964
2021-07-29,Brazil,17771228
2021-07-31,Brunei,280
2021-08-04,Bulgaria,398721
2021-08-02,Burkina Faso,13385
2021-08-04,Burma,225849
2021-01-06,Burundi,773
2021-08-04,Cabo Verde,33173
2021-08-04,Cambodia,72803
2021-03-11,Cameroon,35261
2021-08-04,Canada,1405971
2021-05-30,Central African Republic,6859
2021-08-04,Chad,4796
2021-08-04,Chile,1575377
2021-08-04,China,99228
2021-08-04,Colombia,4615354
2021-08-04,Comoros,3873
2021-07-30,Congo (Brazzaville),12421
2021-08-03,Congo (Kinshasa),30043
2021-08-04,Costa Rica,334759
2021-08-04,Cote d'Ivoire,49642
2021-08-04,Croatia,354830
2021-08-04,Cuba,373354
2021-04-10,Cyprus,39061
2021-08-04,Czechia,1641321
2021-08-04,Denmark,307374
2020-12-03,Diamond Princess,699
2021-08-02,Djibouti,11491
2021-08-01,Dominica,209
2021-08-04,Dominican Republic,324861
2021-07-18,Ecuador,443880
2021-08-04,Egypt,232179
2021-08-02,El Salvador,76670
2021-08-04,Equatorial Guinea,8709
2021-08-04,Eritrea,6475
2021-08-04,Estonia,129183
2021-08-04,Eswatini,22127
2021-08-04,Ethiopia,264008
2021-08-04,Fiji,10848
2021-02-27,Finland,46000
2021-08-04,France,415111
2021-08-04,Gabon,25228
2021-08-04,Gambia,7310
2021-08-04,Georgia,390827
2021-08-04,Germany,3659260
2021-08-04,Ghana,98633
2020-12-04,Greece,93764
2021-07-21,Grenada,161
2021-08-04,Guatemala,331374
2021-08-04,Guinea,24463
2021-08-04,Guinea-Bissau,4027
2021-08-03,Guyana,22327
2021-07-08,Haiti,12961
2021-05-18,Holy See,27
2021-08-04,Honduras,102384
2021-08-04,Hungary,749773
2021-08-04,Iceland,6993
2021-08-04,India,30974748
2021-08-04,Indonesia,2907920
2021-08-04,Iran,3444798
2021-08-04,Iraq,1494760
2020-06-24,Ireland,23364
2021-08-04,Israel,854888
2021-08-04,Italy,4144608
2021-08-04,Jamaica,47101
2021-08-04,Japan,852451
2021-08-04,Jordan,752624
2021-08-04,Kazakhstan,555079
2021-08-04,Kenya,191188
,Kiribati,0
2021-08-04,"Korea, South",180719
2021-08-04,Kosovo,105688
2021-08-04,Kuwait,388880
2021-08-04,Kyrgyzstan,150852
2021-08-04,Laos,3804
2021-08-03,Latvia,135690
2021-08-03,Lebanon,537653
2021-08-01,Lesotho,6664
2021-07-18,Liberia,2715
2021-08-04,Libya,195639
2021-08-03,Liechtenstein,3011
2021-08-04,Lithuania,269840
2021-08-04,Luxembourg,72306
2020-12-03,MS Zaandam,7
2021-08-04,Madagascar,41177
2021-08-04,Malawi,39841
2021-08-04,Malaysia,962731
2021-08-04,Maldives,75095
2021-08-04,Mali,13962
2021-08-04,Malta,32438
2020-12-03,Marshall Islands,4
2021-08-04,Mauritania,22859
2021-07-20,Mauritius,1854
2021-08-04,Mexico,2270427
2021-01-29,Micronesia,1
2021-08-04,Moldova,252421
2021-08-04,Monaco,2759
2021-07-31,Mongolia,164829
2021-08-04,Montenegro,99152
2021-08-04,Morocco,582692
2021-08-04,Mozambique,100912
2021-08-04,Namibia,96568
2021-08-04,Nepal,661651
2021-08-04,Netherlands,28771
2021-08-03,New Zealand,2824
2020-10-06,Nicaragua,4225
2021-08-04,Niger,5351
2021-08-04,Nigeria,165208
2021-08-04,North Macedonia,150440
2020-11-16,Norway,17998
2021-08-04,Oman,281724
2021-08-04,Pakistan,952616
,Palau,0
2021-08-04,Panama,420113
2021-08-02,Papua New Guinea,17384
2021-08-04,Paraguay,423964
2021-08-04,Peru,2086086
2021-08-04,Philippines,1528422
2021-08-04,Poland,2653981
2021-08-04,Portugal,912620
2021-08-04,Qatar,224285
2021-08-04,Romania,1048072
2021-08-04,Russia,5609682
2021-08-04,Rwanda,44911
2021-08-03,Saint Kitts and Nevis,549
2021-08-04,Saint Lucia,5398
2021-08-04,Saint Vincent and the Grenadines,2233
2021-05-18,Samoa,3
2021-08-02,San Marino,5009
2021-08-04,Sao Tome and Principe,2365
2021-08-01,Saudi Arabia,507374
2021-08-04,Senegal,48812
2020-07-19,Serbia,15564
2021-08-02,Seychelles,17874
2021-08-04,Sierra Leone,4287
2021-08-04,Singapore,63357
2021-02-12,Slovakia,255300
2021-08-04,Slovenia,253972
2021-04-28,Solomon Islands,20
2021-08-04,Somalia,7661
2021-08-04,South Africa,2258603
2021-05-25,South Sudan,10514
2020-05-18,Spain,150376
2021-08-04,Sri Lanka,284524
2021-07-06,Sudan,30647
,Summer Olympics 2020,0
2021-08-04,Suriname,21978
,Sweden,0
2020-12-27,Switzerland,317600
2021-08-04,Syria,22019
2021-08-04,Taiwan*,12957
2021-08-04,Tajikistan,14867
2020-05-08,Tanzania,183
2021-03-23,Thailand,26873
2021-08-04,Timor-Leste,10025
2021-08-04,Togo,14654
,Tonga,0
2021-08-04,Trinidad and Tobago,32454
2021-08-04,Tunisia,530545
2021-08-04,Turkey,5478185
2020-12-13,US,6298082
2021-08-04,Uganda,86826
2021-08-04,Ukraine,2258433
2021-08-04,United Arab Emirates,664130
2021-08-04,United Kingdom,24693
2021-08-04,Uruguay,374203
2021-08-04,Uzbekistan,126377
2021-04-23,Vanuatu,3
2021-08-04,Venezuela,294607
2021-08-04,Vietnam,54332
2021-08-04,West Bank and Gaza,312320
,Winter Olympics 2022,0
2021-08-04,Yemen,4251
2021-08-04,Zambia,189658
2021-08-04,Zimbabwe,82994
