Country,Total_Confirmed,Total_Recovered,Total_Deaths
Afghanistan,66031705,18289880,2874099
Albania,82385140,22652652,1320658
Algeria,94695072,25670233,2651996
Andorra,9598486,3085649,75889
Angola,26425596,5895800,605294
Antarctica,1364,0,0
Antigua and Barbuda,1434165,191813,33325
Argentina,2475895186,711610324,48636217
Armenia,142807219,51634388,2869082
Australia,365675939,8821094,1059528
Austria,549025114,131744371,5694318
Azerbaijan,227815064,68764706,3024416
Bahamas,9535186,2484156,226884
Bahrain,140972915,48612087,570784
Bangladesh,652364521,190856309,10509074
Barbados,8284535,692334,62904
Belarus,269571922,88191538,2038480
Belgium,818164335,3797810,15039156
Belize,12362555,2947228,216740
Benin,7892168,1723986,65612
Bhutan,2313658,294915,1366
Bolivia,257271038,69896258,9148253
Bosnia and Herzegovina,119258363,35933408,5099920
Botswana,65579686,9700789,766522
Brazil,9991736059,3412350387,264795351
Brunei,8491163,82751,24955
Bulgaria,278039125,68475929,10575086
Burkina Faso,7545988,2924007,119261
Burma,170851763,34256258,5576309
Burundi,7437063,249099,11205
Cabo Verde,17489763,5686352,148486
Cambodia,34442893,3660787,745369
Cameroon,43472191,10896314,722961
Canada,876749971,264248368,15714265
Central African Republic,5437023,1529613,55707
Chad,2737971,1091049,99316
Chile,881289517,316380403,18283212
China,138460190,45946551,3970993
Colombia,2167037165,735029503,54481320
Comoros,2330407,774724,68349
Congo (Brazzaville),8043225,2439213,125351
Congo (Kinshasa),26555221,6871642,527687
Costa Rica,230150540,55496121,2731619
Cote d'Ivoire,29911080,11756813,250585
Croatia,251454029,70509798,4550764
Cuba,263432108,23926231,2153232
Cyprus,65760901,5113971,240387
Czechia,983420785,317365660,14785125
Denmark,373748694,57832579,1579709
Diamond Princess,563196,340257,9938
Djibouti,6701889,2987544,82123
Dominica,1723006,41026,9436
Dominican Republic,193213463,62636404,2171577
Ecuador,264113548,89535763,14723215
Egypt,165990742,51654262,9150637
El Salvador,51439747,17603810,1523912
Equatorial Guinea,5962008,2213717,80021
Eritrea,2948313,799117,20475
Estonia,95704245,19741545,680816
Eswatini,19020262,4163661,476343
Ethiopia,160845823,48046171,2564253
Fiji,14731503,176313,180541
Finland,110468452,11629672,723722
France,4588778075,96506536,62237882
Gabon,15701460,5266985,102205
Gambia,4389379,1452162,138473
Georgia,328321550,71433919,4110187
Germany,3007332317,695248246,46750203
Ghana,62823801,25893775,518177
Greece,433267705,24659121,7263310
Grenada,1996566,39038,42227
Guatemala,227495346,57897895,6068607
Guinea,14780223,5848704,141537
Guinea-Bissau,2961374,958459,57331
Guyana,14560445,2964263,332218
Haiti,11308676,3591192,291377
Holy See,17324,7042,0
Honduras,155661467,21669283,4141525
Hungary,468001548,111425995,14654493
Iceland,16401467,2058185,22121
India,14681429726,4859387857,192264062
Indonesia,1597829180,363942501,48536553
Iran,2176486670,522325591,53745839
Iraq,815912614,250454579,10863529
Ireland,263643248,10712302,2899538
Israel,730904245,198086041,3777506
Italy,2914673720,759237934,70245227
Jamaica,34379295,5428535,766755
Japan,853001775,129683074,7610096
Jordan,425891377,128718145,4844122
Kazakhstan,388370087,91195356,5927457
Kenya,111190942,29850411,2071993
Kiribati,209246,0,754
"Korea, South",653757077,28219140,2006756
Kosovo,68199012,20280591,1282881
Kuwait,199472884,72140011,1086110
Kyrgyzstan,79140907,28445567,1268918
Laos,22264558,167935,76269
Latvia,114626739,21700606,1477485
Lebanon,308722407,90560589,3693211
Lesotho,8807088,1187899,223794
Liberia,2473486,641874,108404
Libya,143584959,35980071,2066621
Liechtenstein,2566640,663464,30508
Lithuania,199930133,48664190,2566768
Luxembourg,47800020,15506143,431772
MS Zaandam,6722,1715,1492
Madagascar,22414945,8729202,443587
Malawi,26040368,6286177,859016
Malaysia,805303639,94234855,7846183
Maldives,39401020,8915069,96263
Mali,8789490,2293142,285478
Malta,19926135,6085906,220487
Marshall Islands,2395,1000,0
Mauritania,16993540,5034392,350168
Mauritius,20170506,302234,136769
Mexico,1726825683,498203576,133519933
Micronesia,451,188,0
Moldova,157378379,54660386,3696184
Monaco,2012067,497393,16942
Mongolia,170280567,8101267,496642
Montenegro,65674682,19606031,903774
Morocco,396073363,132346459,6181487
Mozambique,61805022,13140950,684809
Namibia,49698676,11919127,1147845
Nepal,328768861,98893289,4099621
Netherlands,1336742176,5133479,10566228
New Zealand,28858248,964499,31223
Nicaragua,6598302,1567987,121674
Niger,3277860,1242042,121057
Nigeria,102375724,39492087,1371894
North Macedonia,93255329,29421904,3062649
Norway,169875533,6420117,551735
Oman,143975788,54426196,1694236
Pakistan,569428773,206507371,12300872
Palau,286661,0,365
Panama,245204203,90821411,3666702
Papua New Guinea,10157095,1682469,138447
Paraguay,198415316,54844740,5974097
Peru,1170867521,458397918,100102224
Philippines,1006132001,232764917,16789466
Poland,1611147051,487412435,37385366
Portugal,676578845,177063502,8873458
Qatar,139153152,63777386,290152
Romania,726525471,221738944,20130234
Russia,4055403879,1128064202,97041399
Rwanda,34522816,5410715,416965
Saint Kitts and Nevis,907713,27865,6734
Saint Lucia,4744195,793932,80343
Saint Vincent and the Grenadines,1829416,311239,19207
Samoa,67600,561,79
San Marino,3475610,1076072,54985
Sao Tome and Principe,1736525,562180,24947
Saudi Arabia,312090694,146131996,4634611
Senegal,30940101,9755165,746432
Serbia,486052135,735730,4393081
Seychelles,8841994,1469023,40005
Sierra Leone,3132228,968250,65196
Singapore,121432134,24305668,174937
Slovakia,502119526,56875095,6072231
Slovenia,188345296,48133031,2355161
Solomon Islands,626648,3913,7703
Somalia,9020655,1699780,452671
South Africa,1304683860,433216733,37675174
South Sudan,6093647,2035590,66028
Spain,2754459962,71183831,47685434
Sri Lanka,175686626,28768450,3805317
Sudan,22280839,6975936,1555801
Summer Olympics 2020,215833,0,0
Suriname,17750210,3106687,357104
Sweden,623633669,0,8338332
Switzerland,578901166,89268383,5958251
Syria,16621787,3588504,1029891
Taiwan*,5924892,802428,259211
Tajikistan,9453239,4615407,68216
Tanzania,6429507,84988,162598
Thailand,590243063,5909547,5175930
Timor-Leste,5838572,635640,30315
Togo,10138228,2307589,93900
Tonga,216773,0,202
Trinidad and Tobago,25928311,3350829,725015
Tunisia,279026319,61124558,9091357
Turkey,3505368946,919259007,29977822
US,22963151317,496971828,368024697
Uganda,48463604,8763537,1005741
Ukraine,1398454220,382658549,32273184
United Arab Emirates,326282986,118844069,963328
United Kingdom,4376490715,3447801,75343186
Uruguay,178902370,36788937,2202153
Uzbekistan,80168187,28288270,577326
Vanuatu,109895,453,411
Venezuela,164597731,49871349,1836434
Vietnam,643038697,1261448,7106939
West Bank and Gaza,187339576,57608773,1893801
Winter Olympics 2022,39517,0,0
Yemen,3987738,772497,810844
Zambia,87545852,21852796,1318781
Zimbabwe,56346213,8779035,1633790
